crime_type,latitude,longitude,geometry
CRIMINAL DAMAGE,41.839381057,-87.641444175,POINT (-87.641444175 41.839381057)
CRIMINAL DAMAGE,41.839410287,-87.646313633,POINT (-87.646313633 41.839410287)
CRIMINAL DAMAGE,41.84097894,-87.649353839,POINT (-87.649353839 41.84097894)
CRIMINAL DAMAGE,41.834491445,-87.639280474,POINT (-87.639280474 41.834491445)
CRIMINAL DAMAGE,41.832791603,-87.647312771,POINT (-87.647312771 41.832791603)
CRIMINAL DAMAGE,41.833534915,-87.641301653,POINT (-87.641301653 41.833534915)
CRIMINAL DAMAGE,41.838977022,-87.660274278,POINT (-87.660274278 41.838977022)
CRIMINAL TRESPASS,41.823404728,-87.649827084,POINT (-87.649827084 41.823404728)
CRIMINAL TRESPASS,41.836833824,-87.648678734,POINT (-87.648678734 41.836833824)
CRIMINAL TRESPASS,41.835034084,-87.65106842,POINT (-87.65106842 41.835034084)
CRIMINAL TRESPASS,41.839204436,-87.646308495,POINT (-87.646308495 41.839204436)
CRIMINAL TRESPASS,41.828220311,-87.642386249,POINT (-87.642386249 41.828220311)
CRIMINAL TRESPASS,41.82661647,-87.639912224,POINT (-87.639912224 41.82661647)
CRIMINAL TRESPASS,41.844117484,-87.642784089,POINT (-87.642784089 41.844117484)
CRIMINAL TRESPASS,41.838052883,-87.645564858,POINT (-87.645564858 41.838052883)
WEAPONS VIOLATION,41.833515706,-87.64130186,POINT (-87.64130186 41.833515706)
WEAPONS VIOLATION,41.849292395,-87.644027731,POINT (-87.644027731 41.849292395)
WEAPONS VIOLATION,41.831764327,-87.64715862,POINT (-87.64715862 41.831764327)
PROSTITUTION,41.823404728,-87.649827084,POINT (-87.649827084 41.823404728)
PROSTITUTION,41.823580335,-87.636576974,POINT (-87.636576974 41.823580335)
NARCOTICS,41.836436889,-87.647923359,POINT (-87.647923359 41.836436889)
NARCOTICS,41.828192993,-87.649284489,POINT (-87.649284489 41.828192993)
NARCOTICS,41.844495875,-87.640453207,POINT (-87.640453207 41.844495875)
NARCOTICS,41.83482151,-87.646711313,POINT (-87.646711313 41.83482151)
NARCOTICS,41.828999227,-87.640488253,POINT (-87.640488253 41.828999227)
NARCOTICS,41.831565062,-87.654264539,POINT (-87.654264539 41.831565062)
NARCOTICS,41.835198696,-87.655231579,POINT (-87.655231579 41.835198696)
NARCOTICS,41.846820192,-87.647298713,POINT (-87.647298713 41.846820192)
NARCOTICS,41.843341565,-87.641533627,POINT (-87.641533627 41.843341565)
NARCOTICS,41.83520027,-87.655033408,POINT (-87.655033408 41.83520027)
NARCOTICS,41.828516739,-87.642394069,POINT (-87.642394069 41.828516739)
NARCOTICS,41.845124638,-87.646447016,POINT (-87.646447016 41.845124638)
NARCOTICS,41.833792211,-87.6494377,POINT (-87.6494377 41.833792211)
NARCOTICS,41.834316946,-87.648613822,POINT (-87.648613822 41.834316946)
NARCOTICS,41.83071474,-87.648784306,POINT (-87.648784306 41.83071474)
NARCOTICS,41.830640649,-87.654333018,POINT (-87.654333018 41.830640649)
NARCOTICS,41.839204436,-87.646308495,POINT (-87.646308495 41.839204436)
NARCOTICS,41.837489008,-87.646264459,POINT (-87.646264459 41.837489008)
NARCOTICS,41.833811337,-87.655906722,POINT (-87.655906722 41.833811337)
OTHER OFFENSE,41.835677754,-87.655960431,POINT (-87.655960431 41.835677754)
OTHER OFFENSE,41.846215576,-87.648531003,POINT (-87.648531003 41.846215576)
OTHER OFFENSE,41.836961082,-87.65952478,POINT (-87.65952478 41.836961082)
OTHER OFFENSE,41.83641378,-87.649571252,POINT (-87.649571252 41.83641378)
OTHER OFFENSE,41.841668977,-87.657908346,POINT (-87.657908346 41.841668977)
OTHER OFFENSE,41.844068906,-87.645206829,POINT (-87.645206829 41.844068906)
OTHER OFFENSE,41.836534599,-87.658399018,POINT (-87.658399018 41.836534599)
OTHER OFFENSE,41.845361871,-87.660563361,POINT (-87.660563361 41.845361871)
OTHER OFFENSE,41.839191495,-87.647816901,POINT (-87.647816901 41.839191495)
OTHER OFFENSE,41.824785808,-87.639873275,POINT (-87.639873275 41.824785808)
OTHER OFFENSE,41.838891832,-87.653265981,POINT (-87.653265981 41.838891832)
OTHER OFFENSE,41.836534599,-87.658399018,POINT (-87.658399018 41.836534599)
OTHER OFFENSE,41.842972023,-87.643970794,POINT (-87.643970794 41.842972023)
OTHER OFFENSE,41.828626655,-87.649756862,POINT (-87.649756862 41.828626655)
OTHER OFFENSE,41.824634888,-87.643521807,POINT (-87.643521807 41.824634888)
OTHER OFFENSE,41.83713042,-87.641387686,POINT (-87.641387686 41.83713042)
OTHER OFFENSE,41.839213645,-87.641442309,POINT (-87.641442309 41.839213645)
OTHER OFFENSE,41.84020329,-87.653215397,POINT (-87.653215397 41.84020329)
OTHER OFFENSE,41.829703407,-87.646703634,POINT (-87.646703634 41.829703407)
OTHER OFFENSE,41.831732752,-87.649687121,POINT (-87.649687121 41.831732752)
OTHER OFFENSE,41.837501847,-87.640180039,POINT (-87.640180039 41.837501847)
OTHER OFFENSE,41.830324602,-87.643662532,POINT (-87.643662532 41.830324602)
OTHER OFFENSE,41.830449141,-87.649344862,POINT (-87.649344862 41.830449141)
OTHER OFFENSE,41.83364771,-87.654686527,POINT (-87.654686527 41.83364771)
OTHER OFFENSE,41.835299746,-87.644999871,POINT (-87.644999871 41.835299746)
OTHER OFFENSE,41.836831835,-87.65111171,POINT (-87.65111171 41.836831835)
OTHER OFFENSE,41.8452772,-87.656428048,POINT (-87.656428048 41.8452772)
OTHER OFFENSE,41.839097344,-87.638995843,POINT (-87.638995843 41.839097344)
OTHER OFFENSE,41.836632916,-87.655987055,POINT (-87.655987055 41.836632916)
OTHER OFFENSE,41.835523823,-87.646215757,POINT (-87.646215757 41.835523823)
OTHER OFFENSE,41.841275279,-87.657226221,POINT (-87.657226221 41.841275279)
OTHER OFFENSE,41.838974915,-87.655250429,POINT (-87.655250429 41.838974915)
