NARCOTICS,"(41.836436889, -87.647923359)"
NARCOTICS,"(41.828192993, -87.649284489)"
NARCOTICS,"(41.844495875, -87.640453207)"
NARCOTICS,"(41.83482151, -87.646711313)"
NARCOTICS,"(41.828999227, -87.640488253)"
NARCOTICS,"(41.831565062, -87.654264539)"
NARCOTICS,"(41.835198696, -87.655231579)"
NARCOTICS,"(41.846820192, -87.647298713)"
NARCOTICS,"(41.843341565, -87.641533627)"
NARCOTICS,"(41.83520027, -87.655033408)"
NARCOTICS,"(41.828516739, -87.642394069)"
NARCOTICS,"(41.845124638, -87.646447016)"
NARCOTICS,"(41.833792211, -87.6494377)"
NARCOTICS,"(41.834316946, -87.648613822)"
NARCOTICS,"(41.83071474, -87.648784306)"
NARCOTICS,"(41.830640649, -87.654333018)"
NARCOTICS,"(41.839204436, -87.646308495)"
NARCOTICS,"(41.837489008, -87.646264459)"
NARCOTICS,"(41.833811337, -87.655906722)"
OTHER OFFENSE,"(41.835677754, -87.655960431)"
OTHER OFFENSE,"(41.846215576, -87.648531003)"
OTHER OFFENSE,"(41.836961082, -87.65952478)"
OTHER OFFENSE,"(41.83641378, -87.649571252)"
OTHER OFFENSE,"(41.841668977, -87.657908346)"
OTHER OFFENSE,"(41.844068906, -87.645206829)"
OTHER OFFENSE,"(41.836534599, -87.658399018)"
OTHER OFFENSE,"(41.845361871, -87.660563361)"
OTHER OFFENSE,"(41.839191495, -87.647816901)"
OTHER OFFENSE,"(41.824785808, -87.639873275)"
OTHER OFFENSE,"(41.838891832, -87.653265981)"
OTHER OFFENSE,"(41.836534599, -87.658399018)"
OTHER OFFENSE,"(41.842972023, -87.643970794)"
OTHER OFFENSE,"(41.828626655, -87.649756862)"
OTHER OFFENSE,"(41.824634888, -87.643521807)"
OTHER OFFENSE,"(41.83713042, -87.641387686)"
OTHER OFFENSE,"(41.839213645, -87.641442309)"
OTHER OFFENSE,"(41.84020329, -87.653215397)"
OTHER OFFENSE,"(41.829703407, -87.646703634)"
OTHER OFFENSE,"(41.831732752, -87.649687121)"
OTHER OFFENSE,"(41.837501847, -87.640180039)"
OTHER OFFENSE,"(41.830324602, -87.643662532)"
OTHER OFFENSE,"(41.830449141, -87.649344862)"
OTHER OFFENSE,"(41.83364771, -87.654686527)"
OTHER OFFENSE,"(41.835299746, -87.644999871)"
OTHER OFFENSE,"(41.836831835, -87.65111171)"
OTHER OFFENSE,"(41.8452772, -87.656428048)"
OTHER OFFENSE,"(41.839097344, -87.638995843)"
OTHER OFFENSE,"(41.836632916, -87.655987055)"
OTHER OFFENSE,"(41.835523823, -87.646215757)"
OTHER OFFENSE,"(41.841275279, -87.657226221)"
OTHER OFFENSE,"(41.838974915, -87.655250429)"
OTHER OFFENSE,"(41.838982099, -87.646299864)"
OTHER OFFENSE,"(41.839120324, -87.641439644)"
OTHER OFFENSE,"(41.836940865, -87.648681263)"
THEFT,"(41.800863342, -87.664766276)"
OFFENSE INVOLVING CHILDREN,"(41.811363517, -87.666278426)"
ROBBERY,"(41.806793065, -87.664180118)"
SEX OFFENSE,"(41.800624017, -87.648825932)"
INTERFERENCE WITH PUBLIC OFFICER,"(41.810416701, -87.665327205)"
PUBLIC PEACE VIOLATION,"(41.79675373, -87.668303954)"
NARCOTICS,"(41.807495991, -87.677091292)"
BATTERY,"(41.799765636, -87.646165129)"
NARCOTICS,"(41.798835772, -87.669577037)"
NARCOTICS,"(41.800863342, -87.664766276)"
OTHER OFFENSE,"(41.806734011, -87.670086047)"
PUBLIC PEACE VIOLATION,"(41.813985829, -87.655290305)"
ROBBERY,"(41.808042175, -87.677104058)"
BATTERY,"(41.807769669, -87.661297945)"
BATTERY,"(41.797022081, -87.674392638)"
OTHER OFFENSE,"(41.80264292, -87.651445162)"
BATTERY,"(41.797046142, -87.661021252)"
BATTERY,"(41.802669989, -87.655090533)"
NARCOTICS,"(41.804101797, -87.661039189)"
BATTERY,"(41.794886668, -87.674330165)"
OFFENSE INVOLVING CHILDREN,"(41.805839015, -87.66246249)"
WEAPONS VIOLATION,"(41.806133835, -87.661256356)"
OTHER OFFENSE,"(41.800858994, -87.66354869)"
THEFT,"(41.795874892, -87.662995487)"
NARCOTICS,"(41.794635218, -87.642736088)"
BATTERY,"(41.795830016, -87.645195004)"
PROSTITUTION,"(41.814827597, -87.645017362)"
PUBLIC PEACE VIOLATION,"(41.808101843, -87.66981518)"
WEAPONS VIOLATION,"(41.79455731, -87.674322538)"
CRIMINAL DAMAGE,"(41.794224033, -87.65154174)"
BATTERY,"(41.808101843, -87.66981518)"
BATTERY,"(41.809582055, -87.666205207)"
NARCOTICS,"(41.806665713, -87.676347847)"
NARCOTICS,"(41.794678073, -87.674324968)"
HOMICIDE,"(41.803691863, -87.676994406)"
NARCOTICS,"(41.796012564, -87.653268412)"
PROSTITUTION,"(41.804334145, -87.644212748)"
KIDNAPPING,"(41.803072258, -87.672313423)"
ASSAULT,"(41.794553764, -87.645168317)"
BURGLARY,"(41.800757543, -87.657472607)"
SEX OFFENSE,"(41.803843637, -87.662413619)"
HOMICIDE,"(41.794033403, -87.663924134)"
MOTOR VEHICLE THEFT,"(41.797891133, -87.675674658)"
CRIMINAL DAMAGE,"(41.813312219, -87.666324236)"
CRIMINAL DAMAGE,"(41.804705944, -87.675806698)"
NARCOTICS,"(41.808003528, -87.657656876)"
MOTOR VEHICLE THEFT,"(41.801209623, -87.676267883)"
BATTERY,"(41.797411035, -87.641591409)"
ASSAULT,"(41.794526301, -87.645164943)"
CRIM SEXUAL ASSAULT,"(41.807917966, -87.66981341)"
NARCOTICS,"(41.807990364, -87.660088877)"
SEX OFFENSE,"(41.796684726, -87.665869564)"
ASSAULT,"(41.809674355, -87.645560384)"
DECEPTIVE PRACTICE,"(41.808855912, -87.664976619)"
NARCOTICS,"(41.807495991, -87.677091292)"
INTERFERENCE WITH PUBLIC OFFICER,"(41.798858937, -87.668362872)"
PROSTITUTION,"(41.800322602, -87.664746224)"
BATTERY,"(41.808634077, -87.645527495)"
ASSAULT,"(41.797286045, -87.659812184)"
PUBLIC PEACE VIOLATION,"(41.808147803, -87.664961971)"
PUBLIC PEACE VIOLATION,"(41.802524043, -87.658734055)"
CRIMINAL DAMAGE,"(41.807975943, -87.644236075)"
DECEPTIVE PRACTICE,"(41.815399239, -87.66514337)"
ASSAULT,"(41.803882561, -87.675789442)"
LIQUOR LAW VIOLATION,"(41.800671638, -87.667196188)"
BATTERY,"(41.801833715, -87.676947352)"
CRIMINAL TRESPASS,"(41.807068409, -87.643915688)"
NARCOTICS,"(41.807738845, -87.66495155)"
CRIMINAL TRESPASS,"(41.798652448, -87.674438283)"
BATTERY,"(41.795628805, -87.642762094)"
NARCOTICS,"(41.809898313, -87.6389958)"
ASSAULT,"(41.807118941, -87.641365944)"
THEFT,"(41.797848451, -87.67684866)"
ASSAULT,"(41.79967597, -87.650457054)"
NARCOTICS,"(41.810022437, -87.665012178)"
OTHER OFFENSE,"(41.806386902, -87.657615177)"
OTHER OFFENSE,"(41.801575737, -87.64597708)"
OTHER OFFENSE,"(41.806059723, -87.661253462)"
DECEPTIVE PRACTICE,"(41.808645557, -87.661846328)"
MOTOR VEHICLE THEFT,"(41.797180707, -87.66953177)"
MOTOR VEHICLE THEFT,"(41.802588016, -87.651442076)"
OTHER OFFENSE,"(41.823135935, -87.673314143)"
BATTERY,"(41.798784825, -87.668359971)"
OFFENSE INVOLVING CHILDREN,"(41.801462544, -87.65416803)"
